id,week,week_start_date,obj_num,flw_get,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe
20,16,2020.12.27 0:00,1,8,9,34.7,5,12.7,9.1,19.8,20.03
20,16,2020.12.27 0:00,2,10,10,31.8,6,13,8,16.2,20.46
20,16,2020.12.27 0:00,3,5,6,33.8,7,9.8,7.3,20.3,21.73
20,16,2020.12.27 0:00,4,4,6,33.1,7,9.8,7.6,16.6,22.1
20,17,2021.1.3 0:00,1,6,8,35,5,13,9.1,20.1,20.06
20,17,2021.1.3 0:00,2,8,10,32.1,6,13.1,8,16.9,20.47
20,17,2021.1.3 0:00,3,5,5,33.8,7,9.9,7.5,20.7,21.83
20,17,2021.1.3 0:00,4,4,4,33.1,7,10,7.6,17.2,22.17
20,18,2021.1.10 0:00,1,10,6,35.4,5,13,9.2,20.7,20.09
20,18,2021.1.10 0:00,2,14,8,32.6,5,13.3,8,17.1,20.54
20,18,2021.1.10 0:00,3,6,5,33.2,6,10,7.5,20.8,21.85
20,18,2021.1.10 0:00,4,6,4,33.1,7,10,7.6,17.2,22.4
20,19,2021.1.17 0:00,1,9,10,35.4,5,13,9.2,20.7,21
20,19,2021.1.17 0:00,2,12,14,32.9,5,13.4,8,17.3,20.76
20,19,2021.1.17 0:00,3,9,6,33.5,6,10.1,7.5,20.8,21.92
20,19,2021.1.17 0:00,4,11,6,33,7,10,7.6,17.2,22.51
20,20,2021.1.24 0:00,1,6,9,35.8,5,13,9.2,20.9,21.02
20,20,2021.1.24 0:00,2,7,12,33.5,5,13.4,8,18.3,20.78
20,20,2021.1.24 0:00,3,5,9,33.7,6,10.2,7.5,21.6,22.03
20,20,2021.1.24 0:00,4,10,11,32.8,7,10,7.6,17.2,22.64
20,21,2021.1.31 0:00,1,6,6,35.8,5,13,9.2,20.9,21.12
20,21,2021.1.31 0:00,2,5,7,33.7,5,13.4,8,18.5,20.8
20,21,2021.1.31 0:00,3,5,5,34,7,8.2,5.5,12.5,22.21
20,21,2021.1.31 0:00,4,9,10,32.7,7,10,7.6,16.9,22.91
20,22,2021.2.7 0:00,1,5,6,36.6,5,13.1,9.3,21.8,21.16
20,22,2021.2.7 0:00,2,4,5,34.9,5,13.5,8,19.3,20.95
20,22,2021.2.7 0:00,3,4,5,34.7,7,8.4,5.5,12.8,22.32
20,22,2021.2.7 0:00,4,6,9,32.7,8,9.7,7.1,17.8,23.01
20,23,2021.2.14 0:00,1,2,5,37.1,6,12,8.2,20.3,21.17
